,record_id,survey_timestamp,learn_skills_rating,use_skills_rating,cope_wellbeng_rating,satisfied_session_rating,what_helpful,what_change,what_motivated,days_week,times_day,future_topics,referral_source,host_name,session_date,session_name,response_id,session_id,Mon,Tue,Wed,Thu,Fri,Sat,Sun,afternoon,evening,lunch,morning,email,friend/colleague,limeaid,referral_other,pm report,wellfocused,resp_concat_text,resp_concat_text_wc
15,15,2023-07-17 07:45:00,4.0,6.0,3.0,5.0,it was useful to provide an intellectual framework for changing bad habits.,"perhaps impractical, but perhaps gathereing info from attendees about what types of behaviors they would like to change and incorporate that a bit more directly in the talk.",some habits i'm interested in breaking. and wellfocused points.,monday,morning,,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,9,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"some habits i'm interested in breaking. and wellfocused points. it was useful to provide an intellectual framework for changing bad habits. perhaps impractical, but perhaps gathereing info from attendees about what types of behaviors they would like to change and incorporate that a bit more directly in the talk.",49
16,16,2023-07-17 08:11:00,3.0,5.0,3.0,4.0,,,,all,"morning,,lunch",,limeaid,lily,2023-07-14,breaking bad habits,10,3,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,,0
17,17,2023-07-17 08:15:00,4.0,7.0,4.0,5.0,,,,thursday,afternoon,,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,11,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,,0
18,18,2023-07-17 08:37:00,3.0,5.0,3.0,4.0,,,,"tuesday,,friday","lunch,,afternoon",,limeaid,lily,2023-07-14,breaking bad habits,12,3,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,,0
19,19,2023-07-17 08:43:00,4.0,6.0,3.0,5.0,,,i find dr. brown's lectures to be very informative and helpful.,"monday,,friday","lunch,,afternoon",how anxiety can impact your work performance and steps you can take to mitigate that (partly for larger projects),"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,13,3,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,i find dr. brown's lectures to be very informative and helpful.   how anxiety can impact your work performance and steps you can take to mitigate that (partly for larger projects),30
20,20,2023-07-17 09:36:00,4.0,7.0,4.0,5.0,connecting the habit to my values--that logical thought process,nothing-- very well done!,i find dr. lily brown gives practical advice that i can easily apply and learn from in many aspects of mental health! she is excellent!!,,,,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,i find dr. lily brown gives practical advice that i can easily apply and learn from in many aspects of mental health! she is excellent!! connecting the habit to my values--that logical thought process nothing-- very well done!,38
21,21,2023-07-17 10:45:00,4.0,7.0,4.0,5.0,,,,,,,,lily,2023-07-14,breaking bad habits,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
22,22,2023-07-17 11:01:00,3.0,6.0,3.0,4.0,,,,,,,pm report,lily,2023-07-14,breaking bad habits,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0
23,23,2023-07-17 13:28:00,4.0,7.0,4.0,5.0,,,,,,,,lily,2023-07-14,breaking bad habits,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
24,24,2023-07-18 16:30:00,4.0,6.0,3.0,5.0,,,,,,,,lily,2023-07-14,breaking bad habits,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
25,25,2023-07-21 11:32:00,3.0,5.0,3.0,4.0,"the validation, and honestly seeing i wasn't the only one who signed up for it.","nothing, for a 30-minute session it covered a lot and gave good tips.",it's relevant to my current needs.,friday,"lunch,,afternoon",,pm report,lily,2023-07-20,building a social network,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"it's relevant to my current needs. the validation, and honestly seeing i wasn't the only one who signed up for it. nothing, for a 30-minute session it covered a lot and gave good tips.",34
26,26,2023-07-21 11:32:00,3.0,6.0,3.0,4.0,,,,"monday,,wednesday","morning,,lunch,,afternoon",,"pm report, wellfocused",lily,2023-07-20,building a social network,1,4,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,,0
27,27,2023-07-21 11:33:00,4.0,7.0,4.0,5.0,,,,"thursday,,friday","morning,,lunch",,other,lily,2023-07-20,building a social network,2,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,,0
28,28,2023-07-21 11:33:00,3.0,6.0,3.0,4.0,very specific actions proposed,,timely,"tuesday,,wednesday,,thursday",lunch,,pm report,lily,2023-07-20,building a social network,3,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,timely very specific actions proposed,5
29,29,2023-07-21 11:34:00,3.0,4.0,3.0,3.0,,,just to learn knowledge,"monday,,tuesday,,wednesday,,thursday",lunch,,wellfocused,lily,2023-07-20,building a social network,4,4,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,just to learn knowledge,4
30,30,2023-07-21 11:37:00,3.0,4.0,2.0,3.0,,i would send a survey with the name of the session attended. in this case i attended the building a social network course.,,,,,,lily,2023-07-20,building a social network,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i would send a survey with the name of the session attended. in this case i attended the building a social network course.,23
31,31,2023-07-21 11:38:00,2.0,5.0,2.0,2.0,nice that it was offered at all,more in depth ; more realistic options,lack of options,"monday,,wednesday,,friday","lunch,,evening",finding a therapist when they're all booked,pm report,lily,2023-07-20,building a social network,6,4,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,lack of options nice that it was offered at all more in depth ; more realistic options finding a therapist when they're all booked,24
32,32,2023-07-21 11:40:00,3.0,5.0,4.0,5.0,social dynamics and decision making,,i always sign up for dr. brown's lectures,"tuesday,,thursday",lunch,belief sytems developed in childhood : how to combat limiting belief,wellfocused,lily,2023-07-20,building a social network,7,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,i always sign up for dr. brown's lectures social dynamics and decision making  belief sytems developed in childhood : how to combat limiting belief,24
33,33,2023-07-21 11:40:00,4.0,6.0,4.0,5.0,,,find ways of coping with stress caring for aging parent,tuesday,lunch,learning to worry less/relaxation,wellfocused,lily,2023-07-20,building a social network,8,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,find ways of coping with stress caring for aging parent   learning to worry less/relaxation,14
34,34,2023-07-21 11:41:00,4.0,5.0,3.0,5.0,lily is wonderful presenter. she is relatable and non-judgmental.,,interest in the topic,"tuesday,,wednesday,,thursday","lunch,,afternoon",,"friend/colleague, limeaid",lily,2023-07-20,building a social network,9,4,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,interest in the topic lily is wonderful presenter. she is relatable and non-judgmental.,13
35,35,2023-07-21 11:45:00,1.0,4.0,3.0,4.0,,anonymous interaction,looking to improve my social network,thursday,afternoon,similar,wellfocused,lily,2023-07-20,building a social network,10,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,looking to improve my social network  anonymous interaction similar,9
36,36,2023-07-21 11:48:00,2.0,3.0,2.0,2.0,,"didn't discuss how to find people to make friends, just how to make sure you keep plans. how do i find people interested in being my friend?",sounded interesting and applicable,all,"lunch,,afternoon",,pm report,lily,2023-07-20,building a social network,11,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,"sounded interesting and applicable  didn't discuss how to find people to make friends, just how to make sure you keep plans. how do i find people interested in being my friend?",31
37,37,2023-07-21 11:51:00,4.0,7.0,4.0,5.0,it helped me understand my feelings and why i develop certain habits.,,difficulties with setting boundaries in friendships,"tuesday,,wednesday,,thursday",lunch,how to break bad habits,pm report,lily,2023-07-20,building a social network,12,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,difficulties with setting boundaries in friendships it helped me understand my feelings and why i develop certain habits.  how to break bad habits,23
38,38,2023-07-21 11:56:00,3.0,5.0,3.0,5.0,,,,wednesday,lunch,,"wellfocused, limeaid",lily,2023-07-20,building a social network,13,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,,0
39,39,2023-07-21 11:57:00,4.0,7.0,4.0,5.0,practical advice about handling anticipatory anxiety,,i am introverted. being social can be challenging.,"monday,,friday",lunch,,"wellfocused, limeaid",lily,2023-07-20,building a social network,14,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,i am introverted. being social can be challenging. practical advice about handling anticipatory anxiety,14
40,40,2023-07-21 11:58:00,3.0,6.0,3.0,5.0,support,no recommendations,i find these sessions to be very supportive.,all,"morning,,lunch,,afternoon",none specific,limeaid,lily,2023-07-20,building a social network,15,4,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,i find these sessions to be very supportive. support no recommendations none specific,13
41,41,2023-07-21 11:59:00,3.0,5.0,3.0,3.0,not cancel out on invitations,,social networking,wednesday,lunch,,pm report,lily,2023-07-20,building a social network,16,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,social networking not cancel out on invitations,7
42,42,2023-07-21 12:03:00,3.0,4.0,3.0,3.0,,,,all,lunch,,"pm report, wellfocused",lily,2023-07-20,building a social network,17,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,,0
43,43,2023-07-21 12:06:00,4.0,7.0,4.0,5.0,dr. brown's delivery and organization are excellent. she presents ideas in a unique way and groups information effectively.,nothing,to gain a new perspective.,"tuesday,,wednesday,,thursday",lunch,handling criticism,wellfocused,lily,2023-07-20,building a social network,18,4,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,to gain a new perspective. dr. brown's delivery and organization are excellent. she presents ideas in a unique way and groups information effectively. nothing handling criticism,26
44,44,2023-07-21 12:23:00,2.0,3.0,3.0,3.0,"i feel like the talk provided more of a context or normalcy to the topic, more then providing too much specific help. i understand that, as it i'm sure it's very individual specific. but the general advice did not really change my perspective or my intended future actions.",,i've been very busy with school and work. feel like it's been hard to maintain friendships with people from all phases of my life. thought this might help touch on some of these challenges.,friday,lunch,post grad school plans,pm report,lily,2023-07-20,building a social network,19,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"i've been very busy with school and work. feel like it's been hard to maintain friendships with people from all phases of my life. thought this might help touch on some of these challenges. i feel like the talk provided more of a context or normalcy to the topic, more then providing too much specific help. i understand that, as it i'm sure it's very individual specific. but the general advice did not really change my perspective or my intended future actions.  post grad school plans",86
45,45,2023-07-21 12:34:00,3.0,5.0,3.0,4.0,,,,friday,"lunch,,afternoon",,pm report,lily,2023-07-20,building a social network,20,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,,0
46,46,2023-07-21 13:29:00,2.0,3.0,2.0,3.0,,,desire to improve relationships,thursday,evening,,,lily,2023-07-20,building a social network,21,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,desire to improve relationships,4
47,47,2023-07-21 13:44:00,2.0,4.0,2.0,2.0,,,,,,,,lily,2023-07-20,building a social network,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
48,48,2023-07-21 14:16:00,3.0,6.0,3.0,4.0,,,,all,"lunch,,afternoon",,limeaid,lily,2023-07-20,building a social network,23,4,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,,0
49,49,2023-07-24 08:03:00,3.0,6.0,2.0,3.0,examples given,too many generalizations,the title and duration,friday,"lunch,,afternoon","1) sleep, 2) coping with work/life balance","pm report, wellfocused",lily,2023-07-20,building a social network,24,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,"the title and duration examples given too many generalizations 1) sleep, 2) coping with work/life balance",16
50,50,2023-07-24 09:41:00,3.0,4.0,3.0,3.0,almost everything that was covered was pretty much common sense.,more in-depth advice and solutions,i am under a lot of stress between work and home,"thursday,,friday","morning,,afternoon",,wellfocused,lily,2023-07-20,building a social network,25,4,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,i am under a lot of stress between work and home almost everything that was covered was pretty much common sense. more in-depth advice and solutions,26
51,51,2023-07-25 11:32:00,4.0,7.0,3.0,5.0,,,attended a number of dr brown's sessions before and they were always helpful,"all,days","lunch,,afternoon,,evening",,"pm report, wellfcoused, limeaid",lily,2023-07-24,sleep tips,0,5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,attended a number of dr brown's sessions before and they were always helpful,13
52,52,2023-07-25 11:32:00,3.0,5.0,3.0,4.0,,,,,,self esteem,wellfocused,lily,2023-07-24,sleep tips,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,self esteem,2
53,53,2023-07-25 11:33:00,3.0,6.0,3.0,4.0,,,,wednesday,morning,,limeaid,lily,2023-07-24,sleep tips,2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0
54,54,2023-07-25 11:33:00,3.0,6.0,3.0,4.0,,,looking for better sleep,,lunch,,wellfocused,lily,2023-07-24,sleep tips,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,looking for better sleep,4
55,55,2023-07-25 11:33:00,3.0,5.0,3.0,4.0,,,limeade,thursday,afternoon,,limeaid,lily,2023-07-24,sleep tips,4,5,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,limeade,1
56,56,2023-07-25 11:33:00,3.0,4.0,3.0,3.0,,,i wake up feeling tired,"all,days",lunch,,"pm report, limeaid",lily,2023-07-24,sleep tips,5,5,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,i wake up feeling tired,5
57,57,2023-07-25 11:34:00,4.0,7.0,3.0,5.0,,,coping mechanisms,"all,days","morning,,lunch,,afternoon",,"pm report, wellfocused",lily,2023-07-24,sleep tips,6,5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,coping mechanisms,2
58,58,2023-07-25 11:35:00,4.0,4.0,4.0,5.0,tips such as stimulus control & limiting time in bed - very usefulimis,,occasional sleep issues,"monday,,wednesday",lunch,,"wellfocused, limeaid",lily,2023-07-24,sleep tips,7,5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,occasional sleep issues tips such as stimulus control & limiting time in bed - very usefulimis,16
59,59,2023-07-25 11:35:00,3.0,4.0,3.0,4.0,tips for falling asleep,,interested in improving sleep habits,"tuesday,,thursday",lunch,"time management, mindfulness",limeaid,lily,2023-07-24,sleep tips,8,5,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"interested in improving sleep habits tips for falling asleep  time management, mindfulness",12
60,60,2023-07-25 11:37:00,4.0,7.0,4.0,5.0,all content was very helpful,nothing,struggled with sleep apnea in the past.,"monday,,friday",lunch,undecided,limeaid,lily,2023-07-24,sleep tips,9,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,struggled with sleep apnea in the past. all content was very helpful nothing undecided,14
61,61,2023-07-25 11:39:00,4.0,7.0,4.0,5.0,,,,wednesday,lunch,getting a restful night's sleep,,lily,2023-07-24,sleep tips,10,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,getting a restful night's sleep,5
62,62,2023-07-25 11:42:00,4.0,7.0,4.0,5.0,tactics to deal with insomnia. not very intuitive so good to know!,"cobalt in general: when cobalt is added to calendar, link is not included so i always need to look it up. would help to include link!",my sleep is often light and wakeful,"monday,,friday",lunch,,limeaid,lily,2023-07-24,sleep tips,11,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"my sleep is often light and wakeful tactics to deal with insomnia. not very intuitive so good to know! cobalt in general: when cobalt is added to calendar, link is not included so i always need to look it up. would help to include link!",45
63,63,2023-07-25 12:15:00,3.0,6.0,3.0,4.0,different things you can try to help you fall asleep.,nothing,well focus,monday,"afternoon,,evening",,limeaid,lily,2023-07-24,sleep tips,12,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,well focus different things you can try to help you fall asleep. nothing,13
64,64,2023-07-25 12:39:00,4.0,6.0,3.0,4.0,,,,friday,afternoon,elder care,wellfocused,lily,2023-07-24,sleep tips,13,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,elder care,2
65,65,2023-07-25 13:13:00,3.0,4.0,3.0,4.0,it was a little more in depth than other sessions,,stress/lack of sleep/desire for general lifestyle improvement,"thursday,,friday","morning,,lunch",,wellfcoused,lily,2023-07-24,sleep tips,14,5,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,stress/lack of sleep/desire for general lifestyle improvement it was a little more in depth than other sessions,17
66,66,2023-07-25 19:19:00,3.0,6.0,3.0,5.0,that sleep apnea was discussed.,no recommendations.,i want to participate more in the programs offered to improve myself.,"wednesday,,thursday,,friday",lunch,no recommendations,wellfocused,lily,2023-07-24,sleep tips,15,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,i want to participate more in the programs offered to improve myself. that sleep apnea was discussed. no recommendations. no recommendations,21
67,67,2023-07-26 08:55:00,3.0,6.0,3.0,4.0,the examples and the overall presentation,nothing,i have a stressful job and i want to learn to be more relaxed and improve my well being.,monday,morning,"more about self-care, work life balance","wellfocused, limeaid",lily,2023-07-24,sleep tips,16,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"i have a stressful job and i want to learn to be more relaxed and improve my well being. the examples and the overall presentation nothing more about self-care, work life balance",32
68,68,2023-07-26 09:30:00,4.0,6.0,4.0,5.0,,,,,,,,lily,2023-07-24,sleep tips,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
69,69,2023-07-28 14:04:00,4.0,7.0,3.0,5.0,,,,tuesday,morning,,limeaid,lily,2023-07-24,sleep tips,18,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0
70,70,2023-07-31 12:32:00,3.0,6.0,3.0,5.0,that it's normal to dread social engagements.,some time for q+a,interested in tips for finding adult friendships,"monday,,wednesday",lunch,how to identify others who share your values,pm report,lily,2023-07-24,sleep tips,19,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,interested in tips for finding adult friendships that it's normal to dread social engagements. some time for q+a how to identify others who share your values,26
71,71,2023-08-11 11:46:00,3.0,3.0,3.0,4.0,,,,"tuesday,,wednesday",morning,,wellfocused,lily,2023-08-10,getting reconnected to the _big picture_,0,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,0
72,72,2023-08-11 12:07:00,4.0,7.0,3.0,4.0,,,,"all,days","morning,,afternoon",,"pm report, wellfocused",lily,2023-08-10,getting reconnected to the _big picture_,1,6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,,0
73,73,2023-08-11 12:15:00,3.0,7.0,3.0,5.0,the information itself.,nothing,wanted to hear the information.,thursday,evening,elder care for parents,"wellfocused, limeaid",lily,2023-08-10,getting reconnected to the _big picture_,2,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,wanted to hear the information. the information itself. nothing elder care for parents,13
74,74,2023-08-11 12:20:00,3.0,4.0,3.0,5.0,,,the wellfocused resource,wednesday,morning,,"wellfocused, limeaid",lily,2023-08-10,getting reconnected to the _big picture_,3,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,the wellfocused resource,3
75,75,2023-08-11 12:32:00,3.0,5.0,3.0,5.0,,,,"tuesday,,wednesday,,thursday,,friday","lunch,,afternoon",,wellfocused,lily,2023-08-10,getting reconnected to the _big picture_,4,6,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,,0
76,76,2023-08-14 12:17:00,3.0,5.0,3.0,4.0,it was good food for thought - good reinforcement of the kinds of things i review weekly,"i loved the tone, but i disliked 2 items: 1. the way i generated my honest list of priorities/values was first to consider how i spend my time, since i believe my actual choices are the clearest evidence of my priorities; so when we got to the second portion of the exercise, there was nothing for me to do. and 2. the emphasis on external motivation in the 'what would i like my legacy to be?' question. it's been my experience that modern people are very preoccupied with worrying about what others think of them instead of reaching deep to find their own values and practice them. in other words, i think a good legacy is an incidental by-product of healthy self-motivation. hope that makes sense! otherwise, as i say, i loved the tone of the course. i like lily brown's warm approach.",i like to hear other perspectives and approaches to this topic.,"tuesday,,wednesday,,thursday,,friday","morning,,afternoon",stress management issues,limeaid,lily,2023-08-10,getting reconnected to the _big picture_,5,6,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"i like to hear other perspectives and approaches to this topic. it was good food for thought - good reinforcement of the kinds of things i review weekly i loved the tone, but i disliked 2 items: 1. the way i generated my honest list of priorities/values was first to consider how i spend my time, since i believe my actual choices are the clearest evidence of my priorities; so when we got to the second portion of the exercise, there was nothing for me to do. and 2. the emphasis on external motivation in the 'what would i like my legacy to be?' question. it's been my experience that modern people are very preoccupied with worrying about what others think of them instead of reaching deep to find their own values and practice them. in other words, i think a good legacy is an incidental by-product of healthy self-motivation. hope that makes sense! otherwise, as i say, i loved the tone of the course. i like lily brown's warm approach. stress management issues",174
77,77,2023-08-14 12:40:00,4.0,7.0,4.0,5.0,how to use coping mechanisms properly,,i have been going through somethings in the last 2 years i need to handle proberly,"wednesday,,thursday",afternoon,how to get over childhood trauma,wellfocused,lily,2023-08-10,getting reconnected to the _big picture_,6,6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,i have been going through somethings in the last 2 years i need to handle proberly how to use coping mechanisms properly  how to get over childhood trauma,28
78,78,2023-08-15 11:31:00,3.0,5.0,3.0,4.0,,,,,,,,lily,2023-08-14,building a sense of community,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
79,79,2023-08-15 11:32:00,4.0,4.0,4.0,5.0,"resources shared, engaging presenter",nothing,"attended a prior session by dr lily brown. she is dynamic, practical, engaging and makes sense to me",friday,"lunch,,afternoon","attended a prior session by dr lily brown. she is dynamic, practical, engaging and makes sense to me",wellfocused,lily,2023-08-14,building a sense of community,1,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,"attended a prior session by dr lily brown. she is dynamic, practical, engaging and makes sense to me resources shared, engaging presenter nothing attended a prior session by dr lily brown. she is dynamic, practical, engaging and makes sense to me",41
80,80,2023-08-15 11:33:00,4.0,6.0,3.0,4.0,,,email,monday,lunch,email,limeaid,lily,2023-08-14,building a sense of community,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,email   email,2
