topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_14,"option, anxiety, emotion, education, smoothing, helpful, excellent, panic, work, lack, relapse, book, negative, control, nice, session, therapist, parent, attack, depth",,,,
Topic_15,"always, time, session, good, think, minute, include, cobalt, link, boundary, management, well, look, thing, help, dear, topic, terrific, interested, say",,,,
Topic_16,"entire, recommendation, session, attend, overthinke, attention, change, keep, futre, anxiety, time, self, full, family, deescalate, loss, holiday, step, situation, grief",,,,
Topic_17,"tip, strategy, care, other, emotion, know, need, self, hone, practice, quick, helpful, pause, mother, experience, evolve, new, physiological, already, feel",,,,
Topic_18,"friend, find, people, present, make, plan, keep, sound, deal, applicable, communication, asleep, relaxation, consistently, info, skill, grace, helpful, sure, discuss",,,,
Topic_19,"grief, make, cope, excuse, post, support, need, involve, recognize, illness, apply, information, person, step, practical, stop, cancer, long, work, personal",,,,
Topic_20,"session, apply, mindfulness, present, emotional, time, technique, think, communication, ask, excellent, self, compassion, expand, open, experience, learning, caregiver, like, intelligence",,,,
Topic_21,"loss, back, anonymity, exercise, shift, expert, realize, improve, anonymous, interaction, cbt, think, lose, shame, maternal, cope, topic, friend, refresher, principle",,,,
Topic_22,"care, connect, navigate, interesting, appreciated, long, relationship, philly, workable, handle, chronic, grief, live, hospice, day, strategy, daily, client, improve, little",,,,
Topic_23,"feel, time, recommendation, use, interested, skill, different, communicate, situation, want, help, identify, well, relevant, valuable, family, understanding, challenge, acknowledgement, new",,,,
Topic_24,"help, people, patient, recent, develop, community, grief, connection, always, way, well, look, seminar, overcome, loss, father, understanding, communicate, point, interrupt",,,,
Topic_25,"judgmental, wonderful, mindful, chat, lily, presenter, question, personable, interest, relatable, always, reinforcement, say, time, interested, great, hear, terrific, topic, think",,,,
Topic_26,"want, volunteer, community, time, anxiety, think, already, great, home, feel, get, help, change, inspiration, work, relax, single, write, expectation, health",,,,
Topic_27,"long, stress, work, need, help, time, penn, session, old, pay, son, advice, learn, impact, grace, loneliness, method, advocate, suggestion, offer",,,,
Topic_28,"feel, last, loss, grief, way, form, hangout, social, start, get, friendship, event, end, difficult, happend, old, toxic, new, go, one",,,,
Topic_29,"mindfulness, time, way, improve, sleep, need, anxiety, balance, tip, helpful, life, personal, cause, interested, occasional, limit, daily, suffer, little, manifest",,,,
Topic_30,"stress, minimize, deal, sleep, loss, strategy, work, look, anxiety, like, disposition, remember, intelligence, related, therapy, learn, tool, emotional, coping, perspective",,,,
Topic_31,"need, presenter, tragedy, life, hosting, framework, understanding, lose, change, still, friend, give, recent, go, good, specific, suggestion, sit, year, session",,,,
Topic_32,"life, time, work, cope, sleep, balance, session, example, skill, lot, available, get, look, money, die, deal, relationship, schedule, prioritization, duration",,,,
Topic_33,"session, loss, grief, question, decision, use, sugne, current, night, support, time, difference, learn, mobility, discussion, comment, make, parent, stress, need",,,,
Topic_34,"family, cope, stress, always, death, deal, listen, grief, learn, flexibility, presentation, understand, time, attend, feeling, love, anxiety, physicality, encouragement, new",,,,
Topic_35,"time, work, helpful, self, interest, dedicate, link, write, brief, excellent, real, family, matter, none, subject, curiosity, mindfulness, presenter, concise, journaling",,,,
Topic_36,"understand, eld, return, trauma, often, purchase, emotional, information, focus, care, meditation, buyer, useful, spending, remorse, intellectual, impractical, project, directly, gatheree",,,,
Topic_37,"make, practical, engaging, session, sense, sleep, prior, brown, attend, dynamic, intermittent, different, share, reduction, change, stress, breathe, say, perspective, mindfulness",,,,
Topic_38,"communication, improve, meeting, start, time, ground, feel, effective, access, information, want, moment, bit, way, stress, add, help, handout, grief, emotion",,,,
Topic_39,"change, specific, provide, recommendation, feel, school, different, opportunity, thought, emotion, actionable, time, tip, work, help, mom, talk, way, really, understand",,,,
Topic_40,"session, time, information, child, night, stress, look, life, year, say, single, parenting, short, terror, learn, slide, long, new, maybe, way",,,,
Topic_41,"self, conversation, step, child, depression, teenage, communicate, well, emotion, example, setting, boundary, strengthen, try, life, care, listen, busy, transition, improve",,,,
Topic_42,"last, technique, childhood, make, acceptance, still, year, cope, need, present, long, belief, always, look, pass, life, limit, develop, grief, something",,,,
Topic_43,"sleep, suggest, specific, anxiety, suggestion, recently, know, other, recommedation, method, use, process, well, motivated, example, behavior, tactical, learn, regard, pull",,,,
Topic_44,"community, avenue, think, family, event, tip, go, join, learn, holiday, session, identify, long, way, stress, share, engagement, normal, dread, entire",,,,
Topic_45,"partly, network, name, knowledgeable, mitigate, lecture, large, intellectual, incorporate, impractical, gatheree, directly, attendee, wellfocuse, small, participate, thoroughly, project, course, timely",,,,
Topic_46,"self, make, think, interest, love, session, attend, slide, soothe, future, idea, reference, share, change, start, technique, report, negatively, always, need",,,,
Topic_47,"ptsd, work, way, year, hour, personal, handle, behavior, talk, subject, stop, focus, mundane, fatigue, instead, self, family, method, motivation, care",,,,
Topic_48,"keep, want, work, talk, back, prioritize, value, progress, project, depression, stress, productivity, urgency, past, really, learn, way, many, interesting, maybe",,,,
Topic_49,"well, recommendation, technique, life, tip, information, time, focus, communication, home, winter, body, angle, relaxation, habit, strategy, maybe, helpful, other, blue",,,,
