,orig_index,what_motivated,what_helpful,what_change,future_topics,days_week,times_day,referral_source,host_name,session_date,session_name,resp_concat_text
35,35,managing stress has always presented a challenge for me.,strategies that were presented are simple and easy to employ.,nothing. it was very helpful & informative.,"mindfulness, time management.","monday,,wednesday",lunch,"pm report, limeaid",erica,2023-07-17,strategies for stress reduction (part 1),"managing stress has always presented a challenge for me. strategies that were presented are simple and easy to employ. nothing. it was very helpful & informative. mindfulness, time management."
36,36,"the more strategies i have to combat stress, the better",group discussion,,,"monday,,wednesday,,friday","morning,,lunch,,afternoon","pm report, wellfocused, limeaid",erica,2023-07-17,strategies for stress reduction (part 1),"the more strategies i have to combat stress, the better group discussion"
37,37,finding ways not to stress about unfinished business at the end of the work day,finding ways not to stress about unfinished business at the end of the work day,,stress/mental health/nutrition/alternative medicine,"monday,,tuesday,",lunch,"wellfocused, email",erica,2023-08-08,finding work_life balance,finding ways not to stress about unfinished business at the end of the work day finding ways not to stress about unfinished business at the end of the work day  stress/mental health/nutrition/alternative medicine
38,38,topic relevant,topic relevant,,,"monday,,tuesday,,wednesay,,thursday","monring,,lunch,,afternoon,","pm report, wellfocused",erica,2023-08-08,finding work_life balance,topic relevant topic relevant
39,39,subject,subject,audience participation (not sure they would),stress management,"tuesday,,thursday","morning,,lunch","pm report, wellfocused, limeaid",erica,2023-08-08,finding work_life balance,subject subject audience participation (not sure they would) stress management
40,40,cobalt suggested based on needs assessement,cobalt suggested based on needs assessement,nothing,"exercise, nutrition and mental health","monday,,wednesday,,friday",lunch,"wellfocused, limeaid",erica,2023-08-08,finding work_life balance,"cobalt suggested based on needs assessement cobalt suggested based on needs assessement nothing exercise, nutrition and mental health"
41,41,,,,,,lunch,wellfocused,erica,2023-08-08,finding work_life balance,
42,42,i feel like i don't have time to relax,i feel like i don't have time to relax,longer with more information,,"monday,,friday",afternoon,limeaid,erica,2023-08-08,finding work_life balance,i feel like i don't have time to relax i feel like i don't have time to relax longer with more information
43,43,my personal life and recognition for need for mindfulness and balance,my personal life and recognition for need for mindfulness and balance,using mindfulness daily,,tuesday,lunch,pm report,erica,2023-08-08,finding work_life balance,my personal life and recognition for need for mindfulness and balance my personal life and recognition for need for mindfulness and balance using mindfulness daily
44,44,,,,,"tuesday,,wednesday,,thursday",lunch,wellfocused calendar,erica,2023-08-17,strategies for stress reduction (part 2),
45,45,stress mgmt,setting aside time to relax,nothing,,"monday,,tuesday",lunch,limeaid,erica,2023-08-17,strategies for stress reduction (part 2),stress mgmt setting aside time to relax nothing
46,46,personal growth,savoring,,,"monday,,tuesday,,wednesday,,thursday,,friday",,email,erica,2023-08-17,strategies for stress reduction (part 2),personal growth savoring
47,47,good information,strategies to help,,strategies for saying no without the guilt!,,"morning,,lunch,,afternoon","pm report, wellfocused calendar",erica,2023-08-17,strategies for stress reduction (part 2),good information strategies to help  strategies for saying no without the guilt!
48,48,current pregnancy,appreciated the recommendations for resources available,needed more time,,"monday,,tuesday,,wednesday,,thursday","lunch,,afternoon",pm report,erica,2023-08-22,preparing for the post-partum period and maternity leave,current pregnancy appreciated the recommendations for resources available needed more time
49,49,i am 8 months pregant,it was just ok,"make in longer, no so general","parenting, communicating effectively","monday,,tuesday,,wednesday,,thursday,,friday",lunch,pm report,erica,2023-08-22,preparing for the post-partum period and maternity leave,"i am 8 months pregant it was just ok make in longer, no so general parenting, communicating effectively"
50,50,i am birthing mom,whole session,nothing,,"tuesday,,friday",evening,pm report,erica,2023-08-22,preparing for the post-partum period and maternity leave,i am birthing mom whole session nothing
51,51,expecting,future resources,make it clear what type of questions would be answered.,,wednesday,lunch,friend/colleague,erica,2023-08-22,preparing for the post-partum period and maternity leave,expecting future resources make it clear what type of questions would be answered.
52,52,i'm expecting,the resources and material,duration. should be at least 45 minutes.,,"monday,,tuesday,,wednesday,,thursday","lunch,,afternoon","wellfocused calendar, limeaid",erica,2023-08-22,preparing for the post-partum period and maternity leave,i'm expecting the resources and material duration. should be at least 45 minutes.
53,53,need for support with post partum and returning to work,strategies when it comes to asking for help and taking things step by step.,more q & a time,resources for employees that may only apply pre or post pregnancy,"tuesday,,wednesday,,thursday,,friday","lunch,,afternoon,,evening",wellfocused calendar,erica,2023-08-22,preparing for the post-partum period and maternity leave,need for support with post partum and returning to work strategies when it comes to asking for help and taking things step by step. more q & a time resources for employees that may only apply pre or post pregnancy
54,54,expecting first baby,a mental health professional being there,offering free counseling,,"wednesday,,friday","afternoon,,evening","pm report, wellfocused calendar, limeaid",erica,2023-08-22,preparing for the post-partum period and maternity leave,expecting first baby a mental health professional being there offering free counseling
55,55,to learn about support resources,q&a,,mental health,wednesday,"lunch,,afternoon",pm report,erica,2023-08-22,preparing for the post-partum period and maternity leave,to learn about support resources q&a  mental health
56,56,this topic is relevant and important to me as i'll be going out for my fourth maternity leave shortly. i'm interested in any resources related to this topic as i don't feel that new parents are strongly supported during their return back to work.,it was helpful to identify strategies to use during this time period.,,p,"tuesday,,wednesday,,thursday","lunch,,afternoon",pm report,erica,2023-08-22,preparing for the post-partum period and maternity leave,this topic is relevant and important to me as i'll be going out for my fourth maternity leave shortly. i'm interested in any resources related to this topic as i don't feel that new parents are strongly supported during their return back to work. it was helpful to identify strategies to use during this time period.  p
57,57,,,,,"all,days",lunch,limeaid,erica,2023-09-13,getting better sleep,
58,58,intermittent sleep issues,breathing exercise & strategies for better sleep,no changes,stress reduction; mindfulness; time management,"tuesday,,wednesday,,thursday",lunch,"pm report, wellfocused",erica,2023-09-13,getting better sleep,intermittent sleep issues breathing exercise & strategies for better sleep no changes stress reduction; mindfulness; time management
59,59,currently only sleeping 4-6 hours a night,all the recommendations - especially no caffeine after 12p,nothing,new weight loss programs and medications,"all,days",lunch,"wellfocused, limeaid",erica,2023-09-13,getting better sleep,currently only sleeping 4-6 hours a night all the recommendations - especially no caffeine after 12p nothing new weight loss programs and medications
60,60,trouble sleeping,steps to help you sleep,,,"monday,,friday",morning,wellfocused,erica,2023-09-13,getting better sleep,trouble sleeping steps to help you sleep
61,61,sleep,way to health,no,,thursday,afternoon,limeaid,erica,2023-09-13,getting better sleep,sleep way to health no
62,62,i consistently have a hard time falling asleep,relaxation tips were very helpful,nothing,,wednesday,lunch,"wellfocused, limeaid",erica,2023-09-13,getting better sleep,i consistently have a hard time falling asleep relaxation tips were very helpful nothing
63,63,insomnia,the deep breathing technique,nothing,,wednesday,afternoon,wellfocused,erica,2023-09-13,getting better sleep,insomnia the deep breathing technique nothing
64,64,get healthy sleeping habits,all was good to know,none,,"tuesday,,thursday,,friday",afternoon,wellfocused,erica,2023-09-13,getting better sleep,get healthy sleeping habits all was good to know none
65,65,recent sleep issues,tips provided,,weight loss after 50,friday,lunch,limeaid,erica,2023-09-13,getting better sleep,recent sleep issues tips provided  weight loss after 50
66,66,difficulty sleeping,get out of bed and worry time,,,friday,lunch,wellfocused,erica,2023-09-13,getting better sleep,difficulty sleeping get out of bed and worry time
67,67,the title suggested presented to me that i would learn better ways to use my time and energy.,,i dont know how tactical it was for me -- maybe it was too broad? not sure.,something to the effect of how to keep motivated when it feels others around you are pulling their weight.,"monday,,tuesday,,friday",lunch,wellfocused,erica,2023-09-27,managing your energy at work,the title suggested presented to me that i would learn better ways to use my time and energy.  i dont know how tactical it was for me -- maybe it was too broad? not sure. something to the effect of how to keep motivated when it feels others around you are pulling their weight.
68,68,the topic was pertinent to my current situation,the suggestion of doing more of what matters to me as a way of feeling connected and increasing my mood,maybe make it more interactive,managing interpersonal stressors at work with colleagues and supervisors,"monday,,friday",lunch,pm report,erica,2023-09-27,managing your energy at work,the topic was pertinent to my current situation the suggestion of doing more of what matters to me as a way of feeling connected and increasing my mood maybe make it more interactive managing interpersonal stressors at work with colleagues and supervisors
69,69,better communication,tips for different mindset,,,,"morning,,lunch",pm report,erica,2023-10-09,improving our relationships,better communication tips for different mindset
70,70,the topic,just thinking about different relationships in my life and communicating with them,n/a!,,"tuesday,,thursday","morning,,lunch",wellcoused,erica,2023-10-09,improving our relationships,the topic just thinking about different relationships in my life and communicating with them n/a!
71,71,improve communication at home and at work,thought it was interesting to add mindfulness and grounding at the start of the meeting. more meeting should start that way ;0),"a bit more time, it did feel a bit rushed attempting to get all the information to the participants. perhaps a handout before but better after the meeting to help us recall the information.","mindfulness, stress management.","thursday,,friday","lunch,,evening",pm report,erica,2023-10-09,improving our relationships,"improve communication at home and at work thought it was interesting to add mindfulness and grounding at the start of the meeting. more meeting should start that way ;0) a bit more time, it did feel a bit rushed attempting to get all the information to the participants. perhaps a handout before but better after the meeting to help us recall the information. mindfulness, stress management."
72,72,i wanted to learn about relationship advice,knowing how to respond to the actions of others and reflecting on how they affect me,nothing,nothing specific,"monday,,tuesday,,wednesday,,thursday,,friday","lunch,,afternoon","wellfocused, limeaid",erica,2023-10-09,improving our relationships,i wanted to learn about relationship advice knowing how to respond to the actions of others and reflecting on how they affect me nothing nothing specific
73,73,finding ways to connect with others after death of my husband.iwth,workable strategies for improving relationships.,,handling grief; connecting with other people,"monday,,wednesday","lunch,,afternoon","pm report, wellfocused",erica,2023-10-09,improving our relationships,finding ways to connect with others after death of my husband.iwth workable strategies for improving relationships.  handling grief; connecting with other people
74,74,life's anxieties,nice pointers to apply,nothing,not sure,"monday,,tuesday,,wednesday,,thursday","lunch,,afternoon",pm report,erica,2023-10-09,improving our relationships,life's anxieties nice pointers to apply nothing not sure
75,75,to help me communicate better.,start with curiosity and understanding. to demonstrate how we want to communicate.,no recommendations.,no recommendations at this time.,"tuesday,,wednesday,,thursday,,friday",lunch,"wellfocused, limeaid",erica,2023-10-09,improving our relationships,to help me communicate better. start with curiosity and understanding. to demonstrate how we want to communicate. no recommendations. no recommendations at this time.
76,76,topic,strategies,,,"monday,,tuesday,,wednesday,,friday","morning,,,lunch,,afternoon","pm report, wellfocused",erica,2023-10-09,improving our relationships,topic strategies
77,77,the topic interested me.,,,,"monday,,tuesday,,wednesday,,thursday","morning,,afternoon",pm report,erica,2023-10-09,improving our relationships,the topic interested me.
78,78,i know there are always opportunities to improve communication and emotional intelligence,,,,tuesday,lunch,wellfocused,erica,2023-10-09,improving our relationships,i know there are always opportunities to improve communication and emotional intelligence
79,79,want to improve my communication and manage emotions,tools to help me pause before reacting,add handout or cheat sheet as reminders,,"monday,,wednesday,,thursday,,friday","lunch,,afternoon",pm report,erica,2023-10-09,improving our relationships,want to improve my communication and manage emotions tools to help me pause before reacting add handout or cheat sheet as reminders
80,80,looking for new approaches,"very clear, succinct, excellent advice","i think instead of asking us to write down thoughts in session, i'd provide journalling prompts and ask us to photograph them for later. there isn't time to really process the questions in such a short format, it pulls us away from the excellent content.","relationships, how to be friends with coworkers, boundaries, skillful communication of emotional state, self-regulation techniques while under duress, interpersonal skills, etiquette/manners and the reason for them, empathy, compassion, compassion fatigue, burn-out, self-care at work.","monday,,wednesday,,friday","morning,,lunch",pm report,erica,2023-10-09,improving our relationships,"looking for new approaches very clear, succinct, excellent advice i think instead of asking us to write down thoughts in session, i'd provide journalling prompts and ask us to photograph them for later. there isn't time to really process the questions in such a short format, it pulls us away from the excellent content. relationships, how to be friends with coworkers, boundaries, skillful communication of emotional state, self-regulation techniques while under duress, interpersonal skills, etiquette/manners and the reason for them, empathy, compassion, compassion fatigue, burn-out, self-care at work."
81,81,topic seemed relevant and i know the provider and wanted to hear her share!,immediately applicable suggestions and interactive time to try them in group,,,"monday,,tuesday,,friday","morning,,lunch,,afternooon","pm report, limeaid",erica,2023-10-09,improving our relationships,topic seemed relevant and i know the provider and wanted to hear her share! immediately applicable suggestions and interactive time to try them in group
82,82,to obtain tips to minimize stress,i did gain some tools to minimize stress,,how to minimize stress,wednesday,evening,wellfocused,erica,2023-10-17,balancing work and family_,to obtain tips to minimize stress i did gain some tools to minimize stress  how to minimize stress
83,83,interest in work-life balance,examples of how to use prioritization skills,less basic concepts,"how to navigate office relationships, talk with boss about problems, cope with work anxiety, etc","monday,,wednesday,,friday",afternoon,pm report,erica,2023-10-17,balancing work and family_,"interest in work-life balance examples of how to use prioritization skills less basic concepts how to navigate office relationships, talk with boss about problems, cope with work anxiety, etc"
84,84,curiosity,,the timing is very stressful. i usually work through the lunch time.,,thursday,afternoon,limeaid,erica,2023-10-17,balancing work and family_,curiosity  the timing is very stressful. i usually work through the lunch time.
85,85,overwhelmed trying to balance home and work as a single mom of 2 girls in elementary school and 1 with multiple health issues.,to write down my expectations in career and home and delegate activities in both,,,tuesday,afternoon,"pm report, wellfocused",erica,2023-10-17,balancing work and family_,overwhelmed trying to balance home and work as a single mom of 2 girls in elementary school and 1 with multiple health issues. to write down my expectations in career and home and delegate activities in both
86,86,topic and recent events going on in my work/personal life,seeing that i am not alone in the struggle to maintain a balance,,,"monday,,tuesday,,wednesday,,friday","morning,,lunch,,afternoon","pm report, wellfocused",erica,2023-10-17,balancing work and family_,topic and recent events going on in my work/personal life seeing that i am not alone in the struggle to maintain a balance
87,87,topic of interest,prioritizing,nothing,,"tuesday,,thursday",lunch,pm report,erica,2023-10-17,balancing work and family_,topic of interest prioritizing nothing
88,88,,,,,monday,lunch,wellfocused,erica,2023-10-17,balancing work and family_,
89,89,working on work family balance this year,all advice given,nothing,,"monday,,friday","lunch,,afternoon","pm report, wellfocused, limeaid",erica,2023-10-17,balancing work and family_,working on work family balance this year all advice given nothing
90,90,personal education,all information,no recommendations,no recommendations at this time.,"tuesday,,wednesday,,thursday,,friday","lunch,,afternoon",wellfocused,erica,2023-10-17,balancing work and family_,personal education all information no recommendations no recommendations at this time.
91,91,topic applicable to life status,,"more time alloted to questions at end, slides attached at the beginning of meeting",,,,pm report,erica,2023-10-17,balancing work and family_,"topic applicable to life status  more time alloted to questions at end, slides attached at the beginning of meeting"
92,92,hearing from an expert on the topic,"reflections, specific & actionable recommendations",,,"tuesday,,wednesday,,thursday,,friday",lunch,"pm report, wellfocused",erica,2023-10-17,balancing work and family_,"hearing from an expert on the topic reflections, specific & actionable recommendations"
93,93,need help learning how to balance work and family,everything,nothing,,"thursday,,friday","morning,,lunch",wellfocused,erica,2023-10-17,balancing work and family_,need help learning how to balance work and family everything nothing
94,94,life,knowing it is okay to say no. lol,noting at this time.,,friday,lunch,wellfocused,erica,2023-10-17,balancing work and family_,life knowing it is okay to say no. lol noting at this time.
95,95,self care needs,,,,wednesday,evening,"pm report, wellfocused, limeaid",erica,2023-10-17,balancing work and family_,self care needs
96,96,juggling a lot right now,the questions we had to ask ourselves,,saving money while raising a family,wednesday,lunch,wellfocused,erica,2023-10-17,balancing work and family_,juggling a lot right now the questions we had to ask ourselves  saving money while raising a family
97,97,,,,,,,"wellfocused, limeaid, postcard/flyer",erica,2023-10-24,strategies for emotion regulation,
98,98,yes,yes,none,,friday,lunch,wellfocused,erica,2023-10-24,strategies for emotion regulation,yes yes none
99,99,learn more on the topic,specific strategies in managing emotions and learning about reactions to stressors,nothing it was very effective,,"tuesday,,thursday,,friday","morning,,lunch,,afternoon",wellfocused,erica,2023-10-24,strategies for emotion regulation,learn more on the topic specific strategies in managing emotions and learning about reactions to stressors nothing it was very effective
100,100,interest,limeadeone app,nothing,,wednesday,afternoon,email,erica,2023-10-24,strategies for emotion regulation,interest limeadeone app nothing
101,101,it is an area that i want to improve in,the easy-to-do tips,allot more time for it,how to be more articulate,"tuesday,,thursday,,friday","lunch,,evening",wellfocused,erica,2023-10-24,strategies for emotion regulation,it is an area that i want to improve in the easy-to-do tips allot more time for it how to be more articulate
102,102,i constantly worried about everything around me.,smoothing my emotions and stop strategy,all was excellent,"everything about controlling negative emotions, anxiety.","wednesday,,friday",lunch,pm report,erica,2023-10-24,strategies for emotion regulation,"i constantly worried about everything around me. smoothing my emotions and stop strategy all was excellent everything about controlling negative emotions, anxiety."
103,103,personal improvement,recognizing one's emotions in the moment.,no recommendations.,setting boundaries.,"tuesdsay,,wednesday,,thursday,,friday","lunch,,afternoon",wellfocused,erica,2023-10-24,strategies for emotion regulation,personal improvement recognizing one's emotions in the moment. no recommendations. setting boundaries.
104,104,interest in session education,"all applicable information, very helpful",,"working through traumatic relapses/anxiety/panic attacks, etc.","tuesday,,wednesday","afternoon,,evening","qr poster in hup, wellfocused calendar",erica,2023-10-24,strategies for emotion regulation,"interest in session education all applicable information, very helpful  working through traumatic relapses/anxiety/panic attacks, etc."
105,105,topic,stop,a recording,,"tuesday,,thursday",lunch,pm report,erica,2023-10-24,strategies for emotion regulation,topic stop a recording
106,106,dreading winter patient population,strategies for in the moment and overall,nothing,"working after ptsd, staying grounded and productive",wednesday,afternoon,"pm report, wellfocused",erica,2023-10-24,strategies for emotion regulation,"dreading winter patient population strategies for in the moment and overall nothing working after ptsd, staying grounded and productive"
107,107,i thought oit wpuld be very helpful to me during these difficult times.,stop method,nothing,,tuesday,lunch,wellfocused,erica,2023-10-24,strategies for emotion regulation,i thought oit wpuld be very helpful to me during these difficult times. stop method nothing
108,108,"managing emotions, especially when stressed can be challenging.",some of the strategies discussed.,,,friday,lunch,wellfocused,erica,2023-10-24,strategies for emotion regulation,"managing emotions, especially when stressed can be challenging. some of the strategies discussed."
109,109,dealing with teenage emotions,all,nothing,supporting children to transition from college to real worldd,"monday,,tuesday,,wednesday,,thursday,,friday",lunch,"pm report, wellfocused, limeaid",erica,2023-10-24,strategies for emotion regulation,dealing with teenage emotions all nothing supporting children to transition from college to real worldd
110,110,interest in topic,explanations and suggestions to deal with emotions,nothing,anxiety,"monday,,tuesday,,wednesday,,friday","morning,,lunch,,afternoon",limeaid,erica,2023-10-24,strategies for emotion regulation,interest in topic explanations and suggestions to deal with emotions nothing anxiety
111,111,i'm going through alot and am trying to find ways to deal,the tools we could use to kind of center ourselves were helpful,i would make it a little longer if possible.,how to make time for yourself without feeling guilty about doing so.,"tuesday,,wednesday",lunch,limeaid,erica,2023-10-24,strategies for emotion regulation,i'm going through alot and am trying to find ways to deal the tools we could use to kind of center ourselves were helpful i would make it a little longer if possible. how to make time for yourself without feeling guilty about doing so.
112,112,self improvement,the journaling,,mindfulness,monday,lunch,pm report,erica,2023-10-30,discovering a positive relationship with yourself,self improvement the journaling  mindfulness
113,113,interesting topic; sometimes harder on self,not alot,"maybe more time, to provide more substance",,thursday,lunch,pm report,erica,2023-10-30,discovering a positive relationship with yourself,"interesting topic; sometimes harder on self not alot maybe more time, to provide more substance"
114,114,topic and timing,,,,"monday,,tuesday,,wednesday,,friday","morning,,lunch,,afternoon","pm report, wellfocused",erica,2023-10-30,discovering a positive relationship with yourself,topic and timing
115,115,i was interested if i would be able to apply anything to my life.,,i would not change anything.,,"all,days","morning,,lunch",wellfocused,erica,2023-10-30,discovering a positive relationship with yourself,i was interested if i would be able to apply anything to my life.  i would not change anything.
116,116,"depression, self-hatred",things to do to improve my thoughts of myself,,settings boundaries and self-care as a single parent,"monday,,wednesday",afternoon,"pm report, wellfocused",erica,2023-10-30,discovering a positive relationship with yourself,"depression, self-hatred things to do to improve my thoughts of myself  settings boundaries and self-care as a single parent"
117,117,the topic was relatable.,"i learned a practical tool, to soften the critical voice (imagine a friend is extending you grace and gives you advice).","i appreciate the short period of time, but i would like to learn more on this topic.","personal development, positive psychology, self-help, teamwork, motivation","monday,,tuesday,,thursday","morning,,lunch",pm report,erica,2023-10-30,discovering a positive relationship with yourself,"the topic was relatable. i learned a practical tool, to soften the critical voice (imagine a friend is extending you grace and gives you advice). i appreciate the short period of time, but i would like to learn more on this topic. personal development, positive psychology, self-help, teamwork, motivation"
118,118,work on myself,the different steps to do,,,monday,lunch,wellfocused,erica,2023-10-30,discovering a positive relationship with yourself,work on myself the different steps to do
119,119,looking for help to decrease stress,methods to help reduce stress,the session was very informative. nothing needs to change,,monday,lunch,wellfocused,erica,2023-11-09,strategies for stress reduction_ holiday preparation edition,looking for help to decrease stress methods to help reduce stress the session was very informative. nothing needs to change
120,120,family stress over the holidays,,i would not change anything,,thursday,lunch,"wellfocused, limeaid",erica,2023-11-09,strategies for stress reduction_ holiday preparation edition,family stress over the holidays  i would not change anything
121,121,help with daily anxiety and seasonal specific,self-soothing suggestions,,daily meditations/affirmations,"monday,,tuesday,,thursday,,friday",lunch,"pm report, wellfocused",erica,2023-11-09,strategies for stress reduction_ holiday preparation edition,help with daily anxiety and seasonal specific self-soothing suggestions  daily meditations/affirmations
