,topic_id,topic_top_words,resp_concat_text,dominant_topic,session_date
266,Topic_0,"feel, time, way, help, information, meeting, community, penn, barrier, develop, long, experience, helpful, attend, connection, pay, patient, relax, anonymity, course","any skills i can learn to help me socially are something i seek out its normal to not feel motivated to keep social plans more conflict resolution skills perhaps when a social event that has been planned for a long time, gets changed last minute any skills i can learn to help me socially are something i seek out",Topic_0,2023-08-14
190,Topic_0,"feel, time, way, help, information, meeting, community, penn, barrier, develop, long, experience, helpful, attend, connection, pay, patient, relax, anonymity, course","i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way. i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.  pregnancy and postpartum mood changes.",Topic_0,2023-07-14
426,Topic_0,"feel, time, way, help, information, meeting, community, penn, barrier, develop, long, experience, helpful, attend, connection, pay, patient, relax, anonymity, course","i am very hard on myself, and almost always talk to myself negatively. i wanted to join this session because i need to make changes to the way i speak to myself, and think of myself. techniques for practicing self-love; starting out with small adjustments to my thinking make it longer! pm report, wellfocused calendar",Topic_0,2024-02-15
31,Topic_0,"feel, time, way, help, information, meeting, community, penn, barrier, develop, long, experience, helpful, attend, connection, pay, patient, relax, anonymity, course","my parents both passed in the last year. still struggling some days. acceptance that it is ok to still be grieving. a little longer with more detail. most of what was shared was info i have read in articles. i was hoping to have more depth to reflect and look inward so i can find 'closure', or acceptance on some level.",Topic_0,2023-07-13
117,Topic_0,"feel, time, way, help, information, meeting, community, penn, barrier, develop, long, experience, helpful, attend, connection, pay, patient, relax, anonymity, course","the topic was relatable. i learned a practical tool, to soften the critical voice (imagine a friend is extending you grace and gives you advice). i appreciate the short period of time, but i would like to learn more on this topic. personal development, positive psychology, self-help, teamwork, motivation",Topic_0,2023-10-30
179,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",depression mrs. brown is personable and mindful of chat questions.,Topic_1,2023-06-28
162,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",looked interesting dividing the day nothing,Topic_1,2024-01-26
72,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",i wanted to learn about relationship advice knowing how to respond to the actions of others and reflecting on how they affect me nothing nothing specific,Topic_1,2023-10-09
23,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",self help the entire session. it was very informative and interesting it should be longer,Topic_1,2023-07-13
322,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",personal growth. good information. no changes recommended. no recommendations at this time.,Topic_1,2023-09-18
150,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",self growth the entire session no recommendations no recommendations,Topic_1,2024-01-09
93,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",need help learning how to balance work and family everything nothing,Topic_1,2023-10-17
161,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",self improvement the techniques for prioritizing. no recommendations no recommendations at this time.,Topic_0,2024-01-26
342,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new","the topic   anxiety, self-care, depression, family",Topic_0,2023-10-02
25,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",personal grief reminder that other people are struggling with grief,Topic_0,2023-07-13
65,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",recent sleep issues tips provided  weight loss after 50,Topic_0,2023-09-13
275,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",looking for ways to cope with work related stress,Topic_0,2023-08-25
351,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",i am always looking for better ways to communicate with people in my life.,Topic_0,2023-10-03
196,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",,Topic_0,2023-07-14
350,Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",no no,Topic_0,2023-10-03
188,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",a better me applying to everyday life,Topic_2,2023-07-14
287,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",my finance past on 8/8/23 how to deal with the anger and guilt,Topic_2,2023-08-30
298,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",my dad is dying,Topic_2,2023-08-30
425,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",,Topic_0,2024-02-15
350,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",no no,Topic_0,2023-10-03
100,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",interest limeadeone app nothing,Topic_0,2023-10-24
367,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",money,Topic_8,2023-10-12
405,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",very motivated,Topic_13,2024-01-11
233,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",limeade,Topic_7,2023-07-24
98,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",yes yes none,Topic_5,2023-10-24
29,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",interest,Topic_9,2023-07-13
0,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",stress all,Topic_11,2023-06-14
1,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",the topic,Topic_15,2023-06-14
333,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",the topic all nothing,Topic_15,2023-09-25
148,Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",winter is rough for me,Topic_15,2024-01-09
219,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",social networking not cancel out on invitations,Topic_3,2023-07-20
199,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",,Topic_0,2023-07-14
350,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",no no,Topic_0,2023-10-03
100,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",interest limeadeone app nothing,Topic_0,2023-10-24
367,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",money,Topic_8,2023-10-12
405,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",very motivated,Topic_13,2024-01-11
233,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",limeade,Topic_7,2023-07-24
98,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",yes yes none,Topic_5,2023-10-24
29,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",interest,Topic_9,2023-07-13
0,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",stress all,Topic_11,2023-06-14
1,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",the topic,Topic_15,2023-06-14
333,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",the topic all nothing,Topic_15,2023-09-25
148,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",winter is rough for me,Topic_15,2024-01-09
344,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last","mom and brother 4x4 3,3,3",Topic_8,2023-10-02
298,Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",my dad is dying,Topic_2,2023-08-30
239,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",getting a restful night's sleep,Topic_4,2023-07-24
389,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",pdfs/slides attached at beginning of the meeting,Topic_4,2023-11-27
232,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",looking for better sleep,Topic_4,2023-07-24
416,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",trying to improve myself,Topic_4,2024-01-23
383,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",presenter is relatable pdfs attached before start of meeting,Topic_4,2023-11-21
425,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",,Topic_0,2024-02-15
100,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",interest limeadeone app nothing,Topic_0,2023-10-24
350,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",no no,Topic_0,2023-10-03
367,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",money,Topic_8,2023-10-12
405,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",very motivated,Topic_13,2024-01-11
233,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",limeade,Topic_7,2023-07-24
98,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",yes yes none,Topic_5,2023-10-24
29,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",interest,Topic_9,2023-07-13
0,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",stress all,Topic_11,2023-06-14
1,Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",the topic,Topic_15,2023-06-14
376,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run","overall, the session was very helpful none",Topic_5,2023-11-08
165,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",want to do more mindfulness for myself and family. how to do mindfulness,Topic_5,2024-02-08
392,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",the title of the session dear man,Topic_5,2023-12-05
98,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",yes yes none,Topic_5,2023-10-24
425,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",,Topic_0,2024-02-15
350,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",no no,Topic_0,2023-10-03
100,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",interest limeadeone app nothing,Topic_0,2023-10-24
367,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",money,Topic_8,2023-10-12
405,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",very motivated,Topic_13,2024-01-11
233,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",limeade,Topic_7,2023-07-24
29,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",interest,Topic_9,2023-07-13
0,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",stress all,Topic_11,2023-06-14
1,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",the topic,Topic_15,2023-06-14
333,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",the topic all nothing,Topic_15,2023-09-25
148,Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",winter is rough for me,Topic_15,2024-01-09
425,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",,Topic_0,2024-02-15
350,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",no no,Topic_0,2023-10-03
100,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",interest limeadeone app nothing,Topic_0,2023-10-24
367,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",money,Topic_8,2023-10-12
405,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",very motivated,Topic_13,2024-01-11
233,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",limeade,Topic_7,2023-07-24
98,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",yes yes none,Topic_5,2023-10-24
29,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",interest,Topic_9,2023-07-13
0,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",stress all,Topic_11,2023-06-14
1,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",the topic,Topic_15,2023-06-14
333,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",the topic all nothing,Topic_15,2023-09-25
148,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",winter is rough for me,Topic_15,2024-01-09
344,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide","mom and brother 4x4 3,3,3",Topic_8,2023-10-02
298,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",my dad is dying,Topic_2,2023-08-30
114,Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",topic and timing,Topic_19,2023-10-30
112,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",self improvement the journaling  mindfulness,Topic_7,2023-10-30
187,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",curious about bad habits versus addiction,Topic_7,2023-07-14
186,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",anxiety everything nothing is great,Topic_7,2023-07-14
230,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",self esteem,Topic_7,2023-07-24
233,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",limeade,Topic_7,2023-07-24
313,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",,Topic_0,2023-09-12
350,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",no no,Topic_0,2023-10-03
100,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",interest limeadeone app nothing,Topic_0,2023-10-24
367,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",money,Topic_8,2023-10-12
405,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",very motivated,Topic_13,2024-01-11
98,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",yes yes none,Topic_5,2023-10-24
29,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",interest,Topic_9,2023-07-13
0,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",stress all,Topic_11,2023-06-14
1,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",the topic,Topic_15,2023-06-14
333,Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",the topic all nothing,Topic_15,2023-09-25
133,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",stress over holidays speaker was very knowledgeable,Topic_8,2023-12-05
258,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",email   email,Topic_8,2023-08-14
344,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present","mom and brother 4x4 3,3,3",Topic_8,2023-10-02
367,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",money,Topic_8,2023-10-12
353,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present","to learn the community  romantic relationship, race in america",Topic_8,2023-10-12
135,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present","curiosity, stress and health issues",Topic_14,2023-12-05
425,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",,Topic_0,2024-02-15
350,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",no no,Topic_0,2023-10-03
100,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",interest limeadeone app nothing,Topic_0,2023-10-24
405,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",very motivated,Topic_13,2024-01-11
233,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",limeade,Topic_7,2023-07-24
98,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",yes yes none,Topic_5,2023-10-24
29,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",interest,Topic_9,2023-07-13
0,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",stress all,Topic_11,2023-06-14
1,Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",the topic,Topic_15,2023-06-14
270,Topic_9,"work, life, time, topic, habit, sleep, balance, say, understand, interest, tip, matter, attend, option, year, feel, learn, other, presentation, example",real life examples to use,Topic_9,2023-08-25
